row,path,generator,is_real,split,label,content,content_label_source,annotator,review_status
53,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n01580077_12979.jpg,real,1,val,0,,,,unreviewed
54,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n03991062_21173.jpg,real,1,val,0,,,,unreviewed
55,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n07579787_19099.jpg,real,1,val,0,,,,unreviewed
56,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04357314_2133.jpg,real,1,val,0,,,,unreviewed
57,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_000992.jpg,real,1,val,0,,,,unreviewed
58,C:\datasets\genimage_norm_crop\real_extra\places365\food_01515.jpg,real_extra,1,val,0,,,,unreviewed
59,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_004562.jpg,real,1,val,0,,,,unreviewed
60,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n03527444_11761.jpg,real,1,val,0,,,,unreviewed
61,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04111531_10064.jpg,real,1,val,0,,,,unreviewed
62,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04037443_12977.jpg,real,1,val,0,,,,unreviewed
63,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\882_sdv4_00172.jpg,sdv4,0,val,1,,,,unreviewed
64,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\643_sdv5_00022.jpg,sdv5,0,val,1,,,,unreviewed
65,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_004948.jpg,real,1,val,0,,,,unreviewed
66,C:\datasets\genimage_norm_crop\real_extra\places365\food_08240.jpg,real_extra,1,val,0,,,,unreviewed
67,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n02110958_3713.jpg,real,1,val,0,,,,unreviewed
68,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n02114548_22978.jpg,real,1,val,0,,,,unreviewed
69,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n01692333_6963.jpg,real,1,val,0,,,,unreviewed
70,C:\datasets\genimage_norm_crop\real_extra\places365\food_06876.jpg,real_extra,1,val,0,,,,unreviewed
71,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_003345.jpg,real,1,val,0,,,,unreviewed
72,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\649_sdv5_00196.jpg,sdv5,0,val,1,,,,unreviewed
73,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n02641379_4362.jpg,real,1,val,0,,,,unreviewed
74,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n01532829_39082.jpg,real,1,val,0,,,,unreviewed
75,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\447_sdv4_00166.jpg,sdv4,0,val,1,,,,unreviewed
76,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\852_adm_62.jpg,adm,0,val,1,,,,unreviewed
77,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04326547_8976.jpg,real,1,val,0,,,,unreviewed
78,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n02317335_56091.jpg,real,1,val,0,,,,unreviewed
79,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\752_sdv4_00013.jpg,sdv4,0,val,1,,,,unreviewed
80,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\369_adm_126.jpg,adm,0,val,1,,,,unreviewed
81,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n03710721_10879.jpg,real,1,val,0,,,,unreviewed
82,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_07_794_glide_00181.jpg,glide,0,val,1,,,,unreviewed
83,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\778_sdv4_00040.jpg,sdv4,0,val,1,,,,unreviewed
84,C:\datasets\genimage_norm_crop\WildFake\NATURE\ffhq\ffhq_001795.jpg,real,1,val,0,,,,unreviewed
85,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\821_adm_191.jpg,adm,0,val,1,,,,unreviewed
86,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_001693.jpg,real,1,val,0,,,,unreviewed
87,C:\datasets\genimage_norm_crop\WildFake\NATURE\coco\coco_003661.jpg,real,1,val,0,,,,unreviewed
88,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04208210_36159.jpg,real,1,val,0,,,,unreviewed
89,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_004708.jpg,real,1,val,0,,,,unreviewed
90,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_002433.jpg,real,1,val,0,,,,unreviewed
91,C:\datasets\genimage_norm_crop\unseen_generators\dcgan_pretrained\dcgan_04794.jpg,dcgan,0,val,1,,,,unreviewed
92,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_003998.jpg,real,1,val,0,,,,unreviewed
93,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04328186_7211.jpg,real,1,val,0,,,,unreviewed
94,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_00_041_glide_00066.jpg,glide,0,val,1,,,,unreviewed
95,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\145_adm_75.jpg,adm,0,val,1,,,,unreviewed
96,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_004100.jpg,wildfake,0,val,1,,,,unreviewed
97,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\ILSVRC2012_val_00033754.jpg,real,1,val,0,,,,unreviewed
98,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\209_midjourney_187.jpg,midjourney,0,val,1,,,,unreviewed
99,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04392985_4300.jpg,real,1,val,0,,,,unreviewed
100,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\23_midjourney_21.jpg,midjourney,0,val,1,,,,unreviewed
101,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\126_midjourney_125.jpg,midjourney,0,val,1,,,,unreviewed
102,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\223_midjourney_125.jpg,midjourney,0,val,1,,,,unreviewed
103,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04493381_61443.jpg,real,1,val,0,,,,unreviewed
104,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_002758.jpg,wildfake,0,val,1,,,,unreviewed
105,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04033901_42847.jpg,real,1,val,0,,,,unreviewed
106,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n03345487_17117.jpg,real,1,val,0,,,,unreviewed
107,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\381_adm_144.jpg,adm,0,val,1,,,,unreviewed
108,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02090622_1655.jpg,real,1,val,0,,,,unreviewed
109,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02124075_15030.jpg,real,1,val,0,,,,unreviewed
110,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_02696.jpg,stylegan,0,val,1,,,,unreviewed
111,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02906734_23528.jpg,real,1,val,0,,,,unreviewed
112,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\413_sdv5_00066.jpg,sdv5,0,val,1,,,,unreviewed
113,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n03272562_11560.jpg,real,1,val,0,,,,unreviewed
114,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n03857828_30876.jpg,real,1,val,0,,,,unreviewed
115,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\807_sdv4_00026.jpg,sdv4,0,val,1,,,,unreviewed
116,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n04118538_2104.jpg,real,1,val,0,,,,unreviewed
117,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_002258.jpg,wildfake,0,val,1,,,,unreviewed
118,C:\datasets\genimage_norm_crop\real_extra\flickr30k\flickr_00948.jpg,real_extra,1,val,0,,,,unreviewed
119,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\073_sdv5_00187.jpg,sdv5,0,val,1,,,,unreviewed
120,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n02963159_7355.jpg,real,1,val,0,,,,unreviewed
121,C:\datasets\genimage_norm_crop\real_extra\places365\food_04158.jpg,real_extra,1,val,0,,,,unreviewed
122,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\646_sdv4_00052.jpg,sdv4,0,val,1,,,,unreviewed
123,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n01694178_4076.jpg,real,1,val,0,,,,unreviewed
124,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n02130308_2581.jpg,real,1,val,0,,,,unreviewed
125,C:\datasets\genimage_norm_crop\real_extra\places365\food_00039.jpg,real_extra,1,val,0,,,,unreviewed
126,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n03710193_18683.jpg,real,1,val,0,,,,unreviewed
127,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\628_sdv5_00072.jpg,sdv5,0,val,1,,,,unreviewed
128,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_02_237_glide_00055.jpg,glide,0,val,1,,,,unreviewed
129,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\130_sdv5_00082.jpg,sdv5,0,val,1,,,,unreviewed
130,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_002719.jpg,real,1,val,0,,,,unreviewed
131,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\353_sdv5_00139.jpg,sdv5,0,val,1,,,,unreviewed
132,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n02123394_7078.jpg,real,1,val,0,,,,unreviewed
133,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_05567.jpg,stylegan,0,val,1,,,,unreviewed
134,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_003381.jpg,wildfake,0,val,1,,,,unreviewed
135,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_05149.jpg,stylegan,0,val,1,,,,unreviewed
136,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\227_adm_135.jpg,adm,0,val,1,,,,unreviewed
137,C:\datasets\genimage_norm_crop\real_extra\places365\food_09741.jpg,real_extra,1,val,0,,,,unreviewed
138,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04149813_9243.jpg,real,1,val,0,,,,unreviewed
139,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_05_567_glide_00139.jpg,glide,0,val,1,,,,unreviewed
140,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_001358.jpg,real,1,val,0,,,,unreviewed
141,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\232_sdv4_00020.jpg,sdv4,0,val,1,,,,unreviewed
142,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_002445.jpg,wildfake,0,val,1,,,,unreviewed
143,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_00043.jpg,stylegan,0,val,1,,,,unreviewed
144,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_004201.jpg,wildfake,0,val,1,,,,unreviewed
145,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\323_adm_64.jpg,adm,0,val,1,,,,unreviewed
146,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\790_adm_3.jpg,adm,0,val,1,,,,unreviewed
147,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_004134.jpg,real,1,val,0,,,,unreviewed
148,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04596742_198.jpg,real,1,val,0,,,,unreviewed
149,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n02797295_381.jpg,real,1,val,0,,,,unreviewed
150,C:\datasets\genimage_norm_crop\real_extra\flickr30k\flickr_01046.jpg,real_extra,1,val,0,,,,unreviewed
151,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\569_adm_102.jpg,adm,0,val,1,,,,unreviewed
152,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\734_sdv5_00140.jpg,sdv5,0,val,1,,,,unreviewed
153,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\AI\901_sdv5_00052.jpg,sdv5,0,val,1,,,,unreviewed
154,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_000440.jpg,real,1,val,0,,,,unreviewed
155,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_04_454_glide_00014.jpg,glide,0,val,1,,,,unreviewed
156,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\292_midjourney_23.jpg,midjourney,0,val,1,,,,unreviewed
157,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02091467_3349.jpg,real,1,val,0,,,,unreviewed
158,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n02097298_10251.jpg,real,1,val,0,,,,unreviewed
159,C:\datasets\genimage_norm_crop\real_extra\places365\food_04092.jpg,real_extra,1,val,0,,,,unreviewed
160,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\ILSVRC2012_val_00000620.jpg,real,1,val,0,,,,unreviewed
161,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\782_adm_74.jpg,adm,0,val,1,,,,unreviewed
162,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\14_adm_28.jpg,adm,0,val,1,,,,unreviewed
163,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04070727_12356.jpg,real,1,val,0,,,,unreviewed
164,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_07_721_glide_00037.jpg,glide,0,val,1,,,,unreviewed
165,C:\datasets\genimage_norm_crop\real_extra\places365\food_07587.jpg,real_extra,1,val,0,,,,unreviewed
166,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n03535780_15719.jpg,real,1,val,0,,,,unreviewed
167,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n03445777_3060.jpg,real,1,val,0,,,,unreviewed
168,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_004504.jpg,real,1,val,0,,,,unreviewed
169,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\839_adm_95.jpg,adm,0,val,1,,,,unreviewed
170,C:\datasets\genimage_norm_crop\WildFake\NATURE\celebahq\celebahq_003235.jpg,real,1,val,0,,,,unreviewed
171,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n03100240_2601.jpg,real,1,val,0,,,,unreviewed
172,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_03_373_glide_00131.jpg,glide,0,val,1,,,,unreviewed
173,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n02085620_5495.jpg,real,1,val,0,,,,unreviewed
174,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n01677366_6644.jpg,real,1,val,0,,,,unreviewed
175,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\847_sdv4_00058.jpg,sdv4,0,val,1,,,,unreviewed
176,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_004921.jpg,real,1,val,0,,,,unreviewed
177,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02128385_19182.jpg,real,1,val,0,,,,unreviewed
178,C:\datasets\genimage_norm_crop\WildFake\NATURE\coco\coco_000657.jpg,real,1,val,0,,,,unreviewed
179,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n07717556_8255.jpg,real,1,val,0,,,,unreviewed
180,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_03125.jpg,stylegan,0,val,1,,,,unreviewed
181,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04328186_26495.jpg,real,1,val,0,,,,unreviewed
182,C:\datasets\genimage_norm_crop\real_extra\places365\food_07312.jpg,real_extra,1,val,0,,,,unreviewed
183,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_03291.jpg,stylegan,0,val,1,,,,unreviewed
184,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\562_adm_83.jpg,adm,0,val,1,,,,unreviewed
185,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_001975.jpg,real,1,val,0,,,,unreviewed
186,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\880_sdv4_00172.jpg,sdv4,0,val,1,,,,unreviewed
187,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_000392.jpg,wildfake,0,val,1,,,,unreviewed
188,C:\datasets\genimage_norm_crop\real_extra\places365\food_02732.jpg,real_extra,1,val,0,,,,unreviewed
189,C:\datasets\genimage_norm_crop\real_extra\places365\food_00575.jpg,real_extra,1,val,0,,,,unreviewed
190,C:\datasets\genimage_norm_crop\unseen_generators\dcgan_pretrained\dcgan_00480.jpg,dcgan,0,val,1,,,,unreviewed
191,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_03355.jpg,stylegan,0,val,1,,,,unreviewed
192,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\259_sdv4_00085.jpg,sdv4,0,val,1,,,,unreviewed
193,C:\datasets\genimage_norm_crop\WildFake\NATURE\ffhq\ffhq_002999.jpg,real,1,val,0,,,,unreviewed
194,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_004692.jpg,real,1,val,0,,,,unreviewed
195,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\336_midjourney_159.jpg,midjourney,0,val,1,,,,unreviewed
196,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\388_adm_41.jpg,adm,0,val,1,,,,unreviewed
197,C:\datasets\genimage_norm_crop\unseen_generators\dcgan_pretrained\dcgan_04615.jpg,dcgan,0,val,1,,,,unreviewed
198,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_004125.jpg,real,1,val,0,,,,unreviewed
199,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04111531_6899.jpg,real,1,val,0,,,,unreviewed
200,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_003923.jpg,real,1,val,0,,,,unreviewed
201,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\315_adm_155.jpg,adm,0,val,1,,,,unreviewed
202,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04540053_1702.jpg,real,1,val,0,,,,unreviewed
203,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\806_adm_104.jpg,adm,0,val,1,,,,unreviewed
204,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_003493.jpg,real,1,val,0,,,,unreviewed
